Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,raw,imu.header.seq,imu.header.stamp.secs,imu.header.stamp.nsecs,imu.header.frame_id,imu.orientation.x,imu.orientation.y,imu.orientation.z,imu.orientation.w,imu.orientation_covariance,imu.angular_velocity.x,imu.angular_velocity.y,imu.angular_velocity.z,imu.angular_velocity_covariance,imu.linear_acceleration.x,imu.linear_acceleration.y,imu.linear_acceleration.z,imu.linear_acceleration_covariance,mag_field.header.seq,mag_field.header.stamp.secs,mag_field.header.stamp.nsecs,mag_field.header.frame_id,mag_field.magnetic_field.x,mag_field.magnetic_field.y,mag_field.magnetic_field.z,mag_field.magnetic_field_covariance
1677800715.956571,380,1677800715,915144920,imu1_frame,"$VNYMR,+045.660,+002.273,-161.945,-00.1182,+00.0233,-00.5463,-07.359,-02.277,+03.999,-04.003355,-00.409422,-02.175424*65",0,0,0,,-0.9112721081220562,-0.3802483869537098,0.07892234952983468,0.13698748819719153,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-4.003355,-0.409422,-2.175424,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-7.359,-2.277,3.999,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.1182,0.0233,-0.5463,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1677800715.956594,381,1677800715,940533399,imu1_frame,"$VNYMR,+047.740,+001.525,-167.035,-00.1157,+00.0819,-00.5533,-08.744,-01.731,-00.944,-03.525780,+00.433345,-01.109576*6E",0,0,0,,-0.909146740424616,-0.40066603536469225,0.05777395305646738,0.09788310798429081,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-3.52578,0.433345,-1.109576,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-8.744,-1.731,-0.944,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.1157,0.0819,-0.5533,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1677800716.003942,382,1677800715,965696096,imu1_frame,"$VNYMR,+048.512,+000.725,-172.098,-00.1142,+00.1333,-00.5284,-07.137,-02.466,-01.923,-03.655089,+00.499611,-00.336837*6F",0,0,0,,-0.909713068565553,-0.40943231103577093,0.034060438031017284,0.060226257746006144,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-3.655089,0.499611,-0.336837,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-7.137,-2.466,-1.923,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.1142,0.1333,-0.5284,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1677800716.0039618,383,1677800715,991056442,imu1_frame,"$VNYMR,+049.324,-001.063,-178.191,-00.0948,+00.1907,-00.5105,-06.435,-04.424,+01.392,-04.515985,+01.524600,-01.000865*6A",0,0,0,,-0.9085716811257898,-0.4173275698684645,-0.0018425163105613516,0.018215510357476167,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-4.515985,1.5246,-1.000865,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-6.435,-4.424,1.392,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.0948,0.1907,-0.5105,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1677800716.0469465,384,1677800716,14617443,imu1_frame,"$VNYMR,+050.691,-003.472,+175.005,-00.0695,+00.2612,-00.5014,-05.657,-05.267,+02.695,-04.794955,+01.812636,-00.738629*6A",0,0,0,,0.9030351437112799,0.4262797451924229,0.04599741118221028,0.026407313865023447,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-4.794955,1.812636,-0.738629,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-5.657,-5.267,2.695,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.0695,0.2612,-0.5014,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1677800716.0469692,385,1677800716,39943933,imu1_frame,"$VNYMR,+051.951,-006.395,+168.109,-00.0504,+00.3345,-00.4556,-05.600,-05.531,+01.900,-04.221918,+02.605327,-00.570617*64",0,0,0,,0.8952841908647737,0.42975863275700404,0.09517070669022609,0.06867511737537108,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-4.221918,2.605327,-0.570617,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-5.6,-5.531,1.9,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.0504,0.3345,-0.4556,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1677800716.088712,386,1677800716,65455675,imu1_frame,"$VNYMR,+054.151,-010.093,+161.947,-00.0191,+00.3687,-00.4138,-02.660,-04.096,+03.777,-04.521605,+02.988753,-00.594767*6E",0,0,0,,0.8822534432435076,0.43549651700449865,0.1484884871685574,0.09961332611813775,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-4.521605,2.988753,-0.594767,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-2.66,-4.096,3.777,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.0191,0.3687,-0.4138,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1677800716.0929985,387,1677800716,90777397,imu1_frame,"$VNYMR,+056.328,-012.850,+156.339,+00.0088,+00.4146,-00.3788,-03.196,-08.619,+01.373,-03.007083,+01.891145,-00.936210*6E",0,0,0,,0.868282558928392,0.4388437926715786,0.1927174047051331,0.1279121785370976,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-3.007083,1.891145,-0.93621,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-3.196,-8.619,1.373,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.0088,0.4146,-0.3788,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1677800716.1367145,388,1677800716,116144418,imu1_frame,"$VNYMR,+059.537,-013.940,+154.105,+00.0156,+00.4346,-00.3720,-04.922,-13.540,+01.723,+00.208333,+01.633647,-02.398336*6B",0,0,0,,0.8532169196840416,0.456696426485967,0.21308010827113333,0.134335882991052,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.208333,1.633647,-2.398336,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-4.922,-13.54,1.723,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.0156,0.4346,-0.372,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1677800716.1808572,389,1677800716,139637947,imu1_frame,"$VNYMR,+064.458,-013.863,+155.024,-00.0013,+00.4182,-00.3770,-04.689,-05.166,+14.841,-02.004573,+01.157245,-01.767347*6B",0,0,0,,0.833790474491383,0.4948065289110418,0.21414928988838583,0.11874352712775811,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-2.004573,1.157245,-1.767347,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-4.689,-5.166,14.841,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.0013,0.4182,-0.377,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
