Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,raw,imu.header.seq,imu.header.stamp.secs,imu.header.stamp.nsecs,imu.header.frame_id,imu.orientation.x,imu.orientation.y,imu.orientation.z,imu.orientation.w,imu.orientation_covariance,imu.angular_velocity.x,imu.angular_velocity.y,imu.angular_velocity.z,imu.angular_velocity_covariance,imu.linear_acceleration.x,imu.linear_acceleration.y,imu.linear_acceleration.z,imu.linear_acceleration_covariance,mag_field.header.seq,mag_field.header.stamp.secs,mag_field.header.stamp.nsecs,mag_field.header.frame_id,mag_field.magnetic_field.x,mag_field.magnetic_field.y,mag_field.magnetic_field.z,mag_field.magnetic_field_covariance
1677800875.0771039,6745,1677800875,38954734,imu1_frame,"$VNYMR,+139.804,+078.327,-120.896,-00.3961,-00.1085,+00.1197,+03.791,+03.564,-00.651,-01.960068,-00.637107,+01.475126*67",0,0,0,,-0.5242841737922344,-0.5263756962851541,0.5479060280047808,-0.38451751058610795,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-1.960068,-0.637107,1.475126,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",3.791,3.564,-0.651,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.3961,-0.1085,0.1197,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1677800875.0771246,6746,1677800875,64510822,imu1_frame,"$VNYMR,+137.461,+080.624,-126.399,-00.4052,-00.0967,+00.1304,+04.175,+01.200,-02.821,-02.387116,-00.511105,+01.442679*64",0,0,0,,-0.5187302794799489,-0.5284462957095035,0.52987069985719,-0.41340107780992746,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-2.387116,-0.511105,1.442679,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",4.175,1.2,-2.821,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.4052,-0.0967,0.1304,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1677800875.1211057,6747,1677800875,89816331,imu1_frame,"$VNYMR,+130.580,+082.465,-136.931,-00.4086,-00.0674,+00.1375,+04.202,+01.385,-02.224,-02.685372,-00.213295,+01.491713*68",0,0,0,,-0.5122115224198663,-0.5343569383034485,0.5070639822775067,-0.4415746105293684,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-2.685372,-0.213295,1.491713,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",4.202,1.385,-2.224,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.4086,-0.0674,0.1375,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1677800875.121132,6748,1677800875,115117549,imu1_frame,"$VNYMR,+116.251,+084.006,-155.230,-00.4155,-00.0643,+00.1243,+03.672,-00.073,-01.241,-02.957387,-00.274049,+01.606060*6E",0,0,0,,-0.5051558708267377,-0.5405793449241815,0.4804868741640087,-0.47087565425144173,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-2.957387,-0.274049,1.60606,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",3.672,-0.073,-1.241,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.4155,-0.0643,0.1243,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1677800875.1648765,6749,1677800875,138702392,imu1_frame,"$VNYMR,+093.929,+085.037,+178.067,-00.4178,-00.0502,+00.1292,+02.859,-01.864,-00.515,-03.271172,-00.465383,+01.531770*63",0,0,0,,0.494603046166516,0.5464425102750098,-0.45206692997882664,0.5023981493861894,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-3.271172,-0.465383,1.53177,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",2.859,-1.864,-0.515,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.4178,-0.0502,0.1292,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1677800875.166576,6750,1677800875,164172887,imu1_frame,"$VNYMR,+068.284,+085.328,+147.608,-00.4211,-00.0244,+00.1312,+02.504,-03.519,-00.372,-03.449890,-00.743098,+01.216265*67",0,0,0,,0.47836022841146003,0.5527751851717335,-0.42352192822578144,0.5350142641504129,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-3.44989,-0.743098,1.216265,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",2.504,-3.519,-0.372,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.4211,-0.0244,0.1312,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1677800875.2085924,6751,1677800875,189479827,imu1_frame,"$VNYMR,+046.765,+085.075,+121.313,-00.4224,-00.0278,+00.1503,+02.996,-04.080,-01.500,-03.277803,-00.731009,+00.918170*62",0,0,0,,0.4580646785837663,0.5590043460298678,-0.3976308356850282,0.5653146114033288,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-3.277803,-0.731009,0.91817,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",2.996,-4.08,-1.5,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.4224,-0.0278,0.1503,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1677800875.2539794,6752,1677800875,214833259,imu1_frame,"$VNYMR,+030.625,+084.180,+101.170,-00.4180,-00.0213,+00.1572,+02.755,-05.729,-01.137,-02.532892,-00.870413,+00.993047*67",0,0,0,,0.44057163379630326,0.5618884414625293,-0.3750353153897473,0.5912076852133931,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-2.532892,-0.870413,0.993047,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",2.755,-5.729,-1.137,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.418,-0.0213,0.1572,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1677800875.2540019,6753,1677800875,238392829,imu1_frame,"$VNYMR,+016.876,+082.898,+084.645,-00.4169,-00.0118,+00.1675,+02.166,-08.923,-00.270,-01.721577,-01.208797,+00.897981*6D",0,0,0,,0.4273900895408881,0.5581831745176506,-0.3595492510253628,0.6135907358612338,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-1.721577,-1.208797,0.897981,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",2.166,-8.923,-0.27,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.4169,-0.0118,0.1675,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1677800875.2980056,6754,1677800875,263862609,imu1_frame,"$VNYMR,+003.645,+081.573,+069.332,-00.4149,+00.0047,+00.1956,+02.715,-11.874,-01.691,-01.542851,-01.480294,+00.387926*61",0,0,0,,0.41335485207639144,0.550704390380855,-0.3515655035185659,0.6342429640255322,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-1.542851,-1.480294,0.387926,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",2.715,-11.874,-1.691,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.4149,0.0047,0.1956,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1677800875.2980323,6755,1677800875,289211750,imu1_frame,"$VNYMR,-007.728,+080.661,+055.685,-00.4062,-00.0105,+00.2208,+04.596,-18.410,-07.953,-01.568220,-01.021579,-00.381751*6A",0,0,0,,0.39379301911928893,0.5469792244054726,-0.3470056135956869,0.6521716724105577,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-1.56822,-1.021579,-0.381751,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",4.596,-18.41,-7.953,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.4062,-0.0105,0.2208,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1677800875.3452628,6756,1677800875,314505815,imu1_frame,"$VNYMR,-020.036,+081.624,+042.301,-00.4039,-00.0258,+00.2121,+05.144,-15.627,-02.150,-00.465288,-00.666407,-01.769507*6B",0,0,0,,0.37496110683700257,0.5527517522557267,-0.35502013647716596,0.654087434089303,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.465288,-0.666407,-1.769507,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",5.144,-15.627,-2.15,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.4039,-0.0258,0.2121,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1677800875.3452706,6757,1677800875,340031862,imu1_frame,"$VNYMR,-038.195,+081.183,+024.564,-00.3962,-00.0363,+00.2371,+07.942,-10.829,-01.311,+00.469543,-01.699739,-01.013996*6D",0,0,0,,0.36065389457469155,0.5479282035494564,-0.3735543492540153,0.6558662975306644,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.469543,-1.699739,-1.013996,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",7.942,-10.829,-1.311,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.3962,-0.0363,0.2371,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1677800875.3926451,6758,1677800875,363397359,imu1_frame,"$VNYMR,-047.754,+079.308,+016.002,-00.3863,-00.0433,+00.2609,+11.154,-13.682,-03.428,+00.553099,-01.365022,-00.547902*66",0,0,0,,0.35378525258625193,0.5344770599552441,-0.3898296501373331,0.6612133629229561,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.553099,-1.365022,-0.547902,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",11.154,-13.682,-3.428,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.3863,-0.0433,0.2609,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1677800875.3926644,6759,1677800875,388835668,imu1_frame,"$VNYMR,-053.897,+077.952,+010.427,-00.3752,-00.0492,+00.2798,+13.554,-14.100,-03.155,+00.391893,-00.953147,-00.538307*60",0,0,0,,0.3468449745826021,0.526361559170327,-0.4018050536042085,0.6642249404627139,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.391893,-0.953147,-0.538307,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",13.554,-14.1,-3.155,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.3752,-0.0492,0.2798,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
