Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,latitude,longitude,altitude,utm_easting,utm_northing,zone,letter
1675714792.113749,1,1675714792,113225221,,42.338719999999995,-71.08837833333334,32.0,327962.1253585812,4689497.195303682,19,T
1675714793.1156242,2,1675714793,115161418,,42.338719999999995,-71.08838166666666,32.1,327961.85075146484,4689497.202047994,19,T
1675714794.114171,3,1675714794,113720178,,42.338721666666665,-71.088385,32.1,327961.58068966505,4689497.393862988,19,T
1675714795.1157167,4,1675714795,115227699,,42.33872666666666,-71.08839166666667,32.3,327961.0451114515,4689497.962563669,19,T
1675714796.1149085,5,1675714796,114420413,,42.33873333333333,-71.08840000000001,32.2,327960.37677514576,4689498.719707253,19,T
1675714797.1129627,6,1675714797,112448692,,42.338741666666664,-71.08840666666667,32.2,327959.8502878719,4689499.658549373,19,T
1675714798.1137886,7,1675714798,113347530,,42.33874833333333,-71.088415,31.9,327959.18195186707,4689500.415693081,19,T
1675714799.1133108,8,1675714799,112844944,,42.33875666666666,-71.08842,31.7,327958.79276837205,4689501.351163077,19,T
1675714800.115089,9,1675714800,114667415,,42.338768333333334,-71.088425,31.8,327958.41267581563,4689502.656774441,19,T
1675714801.1145487,10,1675714801,114068269,,42.33878,-71.08843,31.7,327958.0325834168,4689503.9623858305,19,T
1675714802.114953,11,1675714802,114519119,,42.338786666666664,-71.08843666666667,31.0,327957.5015514587,4689504.716157485,19,T
1675714803.1139183,12,1675714803,113439559,,42.338795,-71.08844333333333,30.5,327956.97506507335,4689505.654999853,19,T
1675714804.114947,13,1675714804,114490985,,42.33880333333333,-71.08845,29.9,327956.44857883465,4689506.593842266,19,T
1675714805.1140907,14,1675714805,113596677,,42.338809999999995,-71.08845500000001,29.4,327956.0548506224,4689507.344241775,19,T
1675714806.1169822,15,1675714806,116541624,,42.33881833333333,-71.08846166666667,29.3,327955.5283646496,4689508.283084267,19,T
1675714807.1162853,16,1675714807,115710258,,42.338825,-71.08846666666666,29.2,327955.1346366443,4689509.033483834,19,T
1675714808.1147053,17,1675714808,114242315,,42.338831666666664,-71.08847,29.1,327954.8782120438,4689509.780511121,19,T
1675714809.1153934,18,1675714809,114938735,,42.33884,-71.08847666666666,29.0,327954.35172643233,4689510.719353716,19,T
1675714810.1136608,19,1675714810,113251924,,42.33884666666666,-71.088485,28.9,327953.6833921361,4689511.476498008,19,T
1675714811.1150908,20,1675714811,114721298,,42.338856666666665,-71.08849166666667,28.9,327953.161452388,4689512.600411376,19,T
1675714812.1133912,21,1675714812,112897634,,42.338866666666675,-71.08849666666667,28.7,327952.7768160608,4689513.720952443,19,T
1675714813.1496766,22,1675714813,149203538,,42.338878333333334,-71.08850000000001,28.6,327952.53402867255,4689515.023191854,19,T
1675714814.1141949,23,1675714814,113652944,,42.338890000000006,-71.088505,28.4,327952.1539382064,4689516.32880364,19,T
1675714815.1138809,24,1675714815,113420009,,42.338901666666665,-71.08851,28.4,327951.77384789544,4689517.6344154505,19,T
1675714816.1141217,25,1675714816,113718986,,42.33891333333333,-71.08851666666666,28.4,327951.25645460817,4689518.943399668,19,T
1675714817.1157696,26,1675714817,115299224,,42.33892666666667,-71.08852333333333,28.3,327950.74360716937,4689520.437454607,19,T
1675714818.1149378,27,1675714818,114355802,,42.33893833333333,-71.08853,28.3,327950.2262143161,4689521.746438918,19,T
1675714819.1148932,28,1675714819,114470243,,42.338948333333335,-71.08853666666667,28.4,327949.7042760018,4689522.870352598,19,T
1675714820.11554,29,1675714820,115136861,,42.338955000000006,-71.08854166666667,28.7,327949.3105495434,4689523.6207525525,19,T
1675714821.1146927,30,1675714821,114265203,,42.33896166666667,-71.08855166666667,29.0,327948.5049140731,4689524.381269828,19,T
1675714822.113684,31,1675714822,113240718,,42.33897166666667,-71.08856166666666,29.2,327947.70837023424,4689525.511928556,19,T
1675714823.1140249,32,1675714823,113593101,,42.33898333333333,-71.08857166666667,29.2,327946.91637241,4689526.827658058,19,T
1675714824.1150534,33,1675714824,114614486,,42.338991666666665,-71.08858166666667,29.2,327946.1152833509,4689527.773246311,19,T
1675714825.116329,34,1675714825,115877628,,42.339001666666675,-71.08859000000001,29.2,327945.456043257,4689528.900532838,19,T
1675714826.114724,35,1675714826,114309549,,42.33900833333334,-71.08859833333332,29.1,327944.78771176585,4689529.65767808,19,T
1675714827.1154768,36,1675714827,114964723,,42.33901666666667,-71.08860833333333,29.2,327943.98662333377,4689530.603266595,19,T
1675714828.1148732,37,1675714828,114341974,,42.33902500000001,-71.08861833333334,28.6,327943.18553512264,4689531.54885521,19,T
1675714829.114527,38,1675714829,114101171,,42.33903,-71.08862833333333,27.9,327942.37535537814,4689532.124302565,19,T
1675714830.1150126,39,1675714830,114641427,,42.339038333333335,-71.08863833333334,27.3,327941.5742675641,4689533.069891378,19,T
1675714831.1153588,40,1675714831,114967107,,42.339045000000006,-71.08865,26.9,327940.6313311978,4689533.833782207,19,T
1675714832.1154609,41,1675714832,115143775,,42.33905500000001,-71.08865666666667,26.7,327940.10939543607,4689534.957696694,19,T
1675714833.116543,42,1675714833,116108655,,42.339065,-71.08866333333334,26.8,327939.5874598494,4689536.081611226,19,T
1675714834.113227,43,1675714834,112773656,,42.33907333333333,-71.08866833333333,26.9,327939.19828126644,4689537.017082497,19,T
1675714835.1130648,44,1675714835,112667798,,42.339083333333335,-71.08867666666667,27.1,327938.53904323233,4689538.144369749,19,T
1675714836.113184,45,1675714836,112767457,,42.339091666666675,-71.08868666666667,27.4,327937.7379566652,4689539.089959046,19,T
1675714837.113973,46,1675714837,113570451,,42.339099999999995,-71.08869333333334,27.7,327937.2114757847,4689540.0288031,19,T
1675714838.1129854,47,1675714838,112733602,,42.33910666666667,-71.0887,27.9,327936.68044901185,4689540.782576518,19,T
1675714839.1130714,48,1675714839,112642288,,42.33911166666667,-71.08870666666667,28.1,327936.1448763034,4689541.351279298,19,T
1675714840.1148267,49,1675714840,114323616,,42.33912,-71.08871166666667,28.2,327935.75569851266,4689542.286750789,19,T
1675714841.1158884,50,1675714841,115412473,,42.339126666666665,-71.08872,28.5,327935.0873694074,4689543.043897037,19,T
1675714842.1146443,51,1675714842,114108562,,42.339135000000006,-71.08872833333334,28.6,327934.4235865504,4689543.986114041,19,T
1675714843.1133072,52,1675714843,112896442,,42.339144999999995,-71.08874,28.2,327933.4897447342,4689545.120147274,19,T
1675714844.1133678,53,1675714844,112995624,,42.33915333333333,-71.08874833333333,27.8,327932.8259623041,4689546.062364443,19,T
1675714845.113956,54,1675714845,113524675,,42.33916166666666,-71.08875666666667,27.6,327932.16218005674,4689547.00458168,19,T
1675714846.1129293,55,1675714846,112485408,,42.339171666666665,-71.08876166666667,27.6,327931.7775493413,4689548.12512411,19,T
1675714847.1131558,56,1675714847,112811326,,42.339180000000006,-71.08877000000001,27.1,327931.1137674486,4689549.067341461,19,T
1675714848.1128464,57,1675714848,112377405,,42.33918833333334,-71.08877666666667,27.0,327930.58728828386,4689550.0061860755,19,T
1675714849.1154401,58,1675714849,115013360,,42.33919666666667,-71.088785,27.2,327929.9235067427,4689550.94840355,19,T
1675714850.109918,59,1675714850,109478235,,42.33920666666666,-71.08879,27.2,327929.538876642,4689552.068946126,19,T
1675714851.1149464,60,1675714851,114604473,,42.339213333333326,-71.08879333333333,27.3,327929.28245665325,4689552.815974524,19,T
1675714852.1153026,61,1675714852,114755630,,42.33922166666666,-71.0888,27.5,327928.75597804494,4689553.754819297,19,T
1675714853.1158135,62,1675714853,115340948,,42.33923,-71.08880500000001,27.8,327928.36680203804,4689554.690291266,19,T
1675714854.113421,63,1675714854,112991333,,42.339236666666665,-71.08881,28.1,327927.97307985136,4689555.440692573,19,T
1675714855.1156979,64,1675714855,115268707,,42.33924333333333,-71.08881333333333,28.2,327927.7166601757,4689556.18772104,19,T
1675714856.1153653,65,1675714856,114913225,,42.33924999999999,-71.08881833333334,28.3,327927.3229381512,4689556.938122389,19,T
1675714857.1140916,66,1675714857,113647699,,42.339255,-71.08882333333332,28.4,327926.92466989753,4689557.503453078,19,T
1675714858.1136463,67,1675714858,113234519,,42.33926499999999,-71.08883166666666,28.6,327926.26543596,4689558.630741632,19,T
1675714859.1123602,68,1675714859,111937522,,42.339275,-71.08883999999999,28.7,327925.6062022453,4689559.758030259,19,T
1675714860.110174,69,1675714860,109776496,,42.33929,-71.08884833333333,28.6,327924.96060789365,4689561.440531021,19,T
1675714861.1143177,70,1675714861,113859891,,42.339308333333335,-71.088855,28.4,327924.4614089604,4689563.489800305,19,T
1675714862.113291,71,1675714862,112819910,,42.339328333333334,-71.08886166666666,28.2,327923.96675677673,4689565.724140328,19,T
1675714863.1147785,72,1675714863,114378452,,42.33934833333333,-71.08887,28.0,327923.33480276924,4689567.961853355,19,T
1675714864.1129053,73,1675714864,112416505,,42.33936666666667,-71.08887666666666,28.0,327922.83560492133,4689570.011122802,19,T
1675714865.113057,74,1675714865,112599372,,42.33938333333334,-71.08888166666667,27.9,327922.4691630627,4689571.8719486315,19,T
1675714866.1137757,75,1675714866,113338947,,42.33939999999999,-71.08889,27.7,327921.8281172705,4689573.739520459,19,T
